label	tier	weight	pattern	syntax
our journey	peacock	1.0	(?:our|the|this) (?:sustainability |ESG |climate |decarbonisation |decarbonization )?journey	regex
holistic	peacock	1.0	holistic(?:ally)?	regex
best-in-class	peacock	1.0	best[- ]in[- ]class	regex
world-class	peacock	1.0	world[- ]class	regex
industry-leading	peacock	1.0	industry[- ]leading	regex
market-leading	peacock	1.0	market[- ]leading	regex
cutting-edge	peacock	1.0	cutting[- ]edge	regex
state-of-the-art	peacock	1.0	state[- ]of[- ]the[- ]art	regex
thought leadership	peacock	1.0	thought leader(?:ship)?	regex
purpose-driven	peacock	1.0	purpose[- ](?:driven|led)	regex
mission-driven	peacock	1.0	mission[- ](?:driven|led)	regex
values-driven	peacock	1.0	values[- ](?:driven|led)	regex
people-first	peacock	1.0	people[- ]first	regex
north star	peacock	1.0	north star	regex
moonshot	peacock	1.0	moonshot	regex
game-changing	peacock	1.0	game[- ]chang(?:er|ing)	regex
transformative	peacock	1.0	transformat(?:ive|ional)	regex
paradigm shift	peacock	1.0	paradigm shift	regex
sea change	peacock	1.0	sea change	regex
step change	peacock	1.0	step change	regex
quantum leap	peacock	1.0	quantum leap	regex
in our DNA	peacock	1.0	in our DNA	regex
passionate	peacock	1.0	passionate(?:ly)?	regex
deeply committed	peacock	1.0	deeply committed	regex
unwavering	peacock	1.0	unwavering(?:ly)?	regex
relentless	peacock	1.0	relentless(?:ly)?	regex
tireless	peacock	1.0	tireless(?:ly)?	regex
we are proud	peacock	1.0	(?:we are|we're|I am|I'm) (?:incredibly |immensely |especially |particularly |truly |so )?proud	regex
proud to	peacock	1.0	proud to	regex
thrilled to	peacock	1.0	(?:excited|thrilled|delighted) to	regex
meaningful impact	peacock	1.0	meaningful (?:impact|change|progress|difference)	regex
make a difference	peacock	1.0	make a (?:real )?difference	regex
doing well by doing good	peacock	1.0	doing well by doing good	regex
doing the right thing	peacock	1.0	do(?:ing)? the right thing	regex
force for good	peacock	1.0	force for good	regex
a brighter future	peacock	1.0	(?:a )?(?:better|brighter|greener|cleaner|more sustainable) (?:tomorrow|future|world|planet)	regex
future generations	peacock	1.0	(?:for )?(?:future|the next) generations?	regex
generations to come	peacock	1.0	generations to come	regex
leave the world better	peacock	1.0	leave the (?:world|planet) better	regex
people and planet	peacock	1.0	people(?:,| and)? planet(?:,? and profit)?	regex
triple bottom line	peacock	1.0	triple bottom line	regex
win-win	peacock	1.0	win[- ]win	regex
low-hanging fruit	peacock	1.0	low[- ]hanging fruit	regex
move the needle	peacock	1.0	move the needle	regex
raise the bar	peacock	1.0	rais(?:e|ing|ed) the bar	regex
push the envelope	peacock	1.0	push(?:ing)? the envelope	regex
limitless	peacock	1.0	(?:boundless|limitless|endless possibilit(?:y|ies))	regex
at the heart of	peacock	1.0	at the heart of	regex
deeply rooted	peacock	1.0	deeply (?:rooted|embedded|ingrained)	regex
cornerstone	peacock	1.0	cornerstone	regex
bedrock	peacock	1.0	bedrock	regex
lifeblood	peacock	1.0	lifeblood	regex
beacon	peacock	1.0	beacon	regex
catalyst for change	peacock	1.0	catalyst for change	regex
agent of change	peacock	1.0	agents? of change	regex
changemaker	peacock	1.0	changemakers?	regex
trailblazing	peacock	1.0	trailblaz(?:er|ers|ing)	regex
pioneering	peacock	1.0	pioneer(?:s|ed|ing)?	regex
visionary	peacock	1.0	visionary	regex
inspiring	peacock	1.0	inspiring	regex
bold action	peacock	1.0	bold(?:ly)? (?:action|ambition|step|move|goal)	regex
lasting change	peacock	1.0	(?:positive|lasting|real|systemic) change	regex
tangible impact	peacock	1.0	tangible (?:impact|progress|results|outcomes)	regex
exciting	peacock	1.0	exciting	regex
remarkable	peacock	1.0	remarkable	regex
incredible	peacock	1.0	incredible	regex
proud history	peacock	1.0	proud history	regex
only the beginning	peacock	1.0	only the beginning	regex
more work to do	peacock	1.0	more (?:work|to do) (?:remains|ahead)	regex
long way to go	peacock	1.0	long way to go	regex
rome wasn't built	peacock	1.0	rome was not built	regex
aim to	hedge	1.0	aim(?:s|ed|ing)? to	regex
strive to	hedge	1.0	striv(?:e|es|ed|ing) to	regex
aspire to	hedge	1.0	aspir(?:e|es|ed|ing) to	regex
aspiration	hedge	1.0	aspiration(?:s|al)?	regex
endeavour to	hedge	1.0	endeavou?r(?:s|ed|ing)? to	regex
seek to	hedge	1.0	seek(?:s|ing)? to	regex
work towards	hedge	1.0	work(?:s|ed|ing)? towards?	regex
on track to	hedge	1.0	on track to	regex
on our way to	hedge	1.0	(?:well )?on (?:our|the) way to	regex
intend to	hedge	1.0	intend(?:s|ed)? to	regex
hope to	hedge	1.0	hop(?:e|es|ed|ing) to	regex
committed to	hedge	1.0	committed to	regex
commitment	hedge	1.0	commitments?	regex
dedicated to	hedge	1.0	dedicated to	regex
focused on	hedge	1.0	focused on	regex
continue to	hedge	1.0	continu(?:e|es|ed|ing) to	regex
ongoing effort	hedge	1.0	ongoing (?:effort|work|commitment|journey|process)	regex
where possible	hedge	1.0	where (?:possible|feasible|practicable|appropriate|applicable|relevant)	regex
as appropriate	hedge	1.0	as (?:appropriate|applicable|relevant|needed)	regex
helps to reduce	hedge	1.0	(?:help|helps|helping) (?:to )?(?:reduce|cut|lower|avoid|address|drive|support)	regex
contribute to	hedge	1.0	contribut(?:e|es|ed|ing) to	regex
support the transition	hedge	1.0	support(?:s|ed|ing)? the transition	regex
aligned with	hedge	1.0	align(?:s|ed|ing)? with	regex
in line with	hedge	1.0	in line with	regex
consistent with	hedge	1.0	consistent with	regex
broadly	hedge	1.0	broadly	regex
substantially	hedge	1.0	substantial(?:ly)?	regex
significantly	hedge	1.0	significant(?:ly)?	regex
over time	hedge	1.0	over time	regex
in the coming years	hedge	1.0	in the (?:coming|years ahead|near future|long term|long run)	regex
looking ahead	hedge	1.0	look(?:ing)? (?:ahead|forward)	regex
expect to	hedge	1.0	expect(?:s|ed)? to	regex
plan to	hedge	1.0	plan(?:s|ned)? to	regex
exploring	hedge	1.0	explor(?:e|es|ed|ing)	regex
evaluating opportunities	hedge	1.0	evaluat(?:e|es|ed|ing) opportunities	regex
where we can	hedge	1.0	where we can	regex
doing our part	hedge	1.0	do(?:ing)? our part	regex
take steps	hedge	1.0	take (?:steps|action)	regex
remain committed	hedge	1.0	remain(?:s)? committed	regex
leverage	corporate	1.0	leverag(?:e|es|ed|ing)	regex
synergy	corporate	1.0	synerg(?:y|ies|istic)	regex
ecosystem	corporate	1.0	ecosystems?	regex
stakeholder	corporate	1.0	stakeholders?	regex
stakeholder engagement	corporate	1.0	stakeholder engagement	regex
best practice	corporate	1.0	best practices?	regex
robust	corporate	1.0	robust(?:ly|ness)?	regex
framework	corporate	1.0	frameworks?	regex
roadmap	corporate	1.0	roadmaps?	regex
pillar	corporate	1.0	pillars?	regex
lever	corporate	1.0	levers?	regex
enabler	corporate	1.0	enablers?	regex
key driver	corporate	1.0	key drivers?	regex
touchpoint	corporate	1.0	touchpoints?	regex
deep dive	corporate	1.0	deep dive	regex
deliverable	corporate	1.0	deliverables?	regex
actionable	corporate	1.0	actionable	regex
scalable	corporate	1.0	scalable|at scale	regex
seamless	corporate	1.0	seamless(?:ly)?	regex
streamline	corporate	1.0	streamlin(?:e|es|ed|ing)	regex
optimise	corporate	1.0	optimi(?:z|s)(?:e|es|ed|ing|ation)	regex
unlock	corporate	1.0	unlock(?:s|ed|ing)?	regex
create value	corporate	1.0	(?:creat|driv)(?:e|es|ed|ing) value	regex
value creation	corporate	1.0	value creation	regex
embed	corporate	1.0	embed(?:s|ded|ding)?	regex
embark	corporate	1.0	embark(?:s|ed|ing)?	regex
cross-functional	corporate	1.0	cross[- ]functional	regex
end-to-end	corporate	1.0	end[- ]to[- ]end	regex
engage	corporate	1.0	engag(?:e|es|ed|ing|ement)	regex
empower	corporate	1.0	empower(?:s|ed|ing|ment)?	regex
enable	corporate	1.0	enabl(?:e|es|ed|ing)	regex
foster	corporate	1.0	foster(?:s|ed|ing)?	regex
cultivate	corporate	1.0	cultivat(?:e|es|ed|ing)	regex
nurture	corporate	1.0	nurtur(?:e|es|ed|ing)	regex
harness	corporate	1.0	harness(?:es|ed|ing)?	regex
spearhead	corporate	1.0	spearhead(?:s|ed|ing)?	regex
champion	corporate	1.0	champion(?:s|ed|ing)?	regex
elevate	corporate	1.0	elevat(?:e|es|ed|ing)	regex
amplify	corporate	1.0	amplif(?:y|ies|ied|ying)	regex
accelerate	corporate	1.0	accelerat(?:e|es|ed|ing|ion)	regex
catalyse	corporate	1.0	cataly(?:se|ze|ses|zes|sed|zed|sing|zing)	regex
galvanise	corporate	1.0	galvani(?:s|z)(?:e|es|ed|ing)	regex
mobilise	corporate	1.0	mobili(?:s|z)(?:e|es|ed|ing)	regex
operationalise	corporate	1.0	operationali(?:s|z)(?:e|es|ed|ing)	regex
